Detector, Descriptor,1,2,3,4,5,6,7,8,9,Average,STD
SHITOMASI, BRISK,95,88,80,90,82,79,85,86,82,85.22,5.17
SHITOMASI, BRIEF,115,111,104,101,102,102,100,109,100,104.89,5.44
SHITOMASI, ORB,106,102,99,102,103,97,98,104,97,100.89,3.26
SHITOMASI, FREAK,86,90,86,88,86,80,81,86,85,85.33,3.12
SHITOMASI, SIFT,96,86,83,91,86,81,87,92,86,87.56,4.67
HARRIS, BRISK,11,9,10,11,16,14,12,21,17,13.44,3.91
HARRIS, BRIEF,12,12,14,17,17,16,12,20,21,15.67,3.43
HARRIS, ORB,11,11,14,17,19,19,13,21,20,16.11,3.92
HARRIS, FREAK,11,9,13,14,13,18,10,17,18,13.67,3.39
HARRIS, SIFT,15,12,15,18,22,28,15,21,20,18.44,4.88
FAST, BRISK,97,104,101,98,85,107,107,100,100,99.89,6.64
FAST, BRIEF,119,130,118,126,108,123,131,125,119,122.11,7.08
FAST, ORB,118,123,112,126,106,122,122,123,119,119.00,6.30
FAST, FREAK,98,99,91,98,85,99,102,101,105,97.56,6.04
FAST, SIFT,257,246,237,236,232,251,259,252,255,247.22,9.97
BRISK, BRISK,171,176,157,176,174,188,173,171,184,174.44,8.73
BRISK, BRIEF,178,205,185,179,183,195,207,189,183,189.33,10.75
BRISK, ORB,162,175,158,167,160,182,167,171,172,168.22,7.68
BRISK, FREAK,160,177,155,173,161,183,169,178,168,169.33,9.34
BRISK, SIFT,137,151,145,146,144,151,156,165,166,151.22,9.69
ORB, BRISK,73,74,79,85,79,92,90,88,91,83.44,7.37
ORB, BRIEF,49,43,45,59,53,78,68,84,66,60.56,14.50
ORB, ORB,67,70,72,84,91,101,92,93,93,84.78,12.18
ORB, FREAK,42,36,44,47,44,51,52,48,56,46.67,5.98
ORB, SIFT,51,49,51,48,50,68,65,74,54,56.67,9.67
AKAZE, BRISK,137,125,129,129,131,132,142,146,144,135.00,7.52
AKAZE, BRIEF,141,134,131,130,134,146,150,148,152,140.67,8.62
AKAZE, ORB,131,129,127,117,130,131,137,135,145,131.33,7.62
AKAZE, FREAK,126,129,127,121,122,133,144,147,138,131.89,9.33
AKAZE, SIFT,130,116,102,109,111,125,122,133,134,120.22,11.38
SIFT, BRISK,64,66,63,67,59,64,64,67,80,66.00,5.79
SIFT, BRIEF,86,78,77,86,69,74,76,70,88,78.22,7.01
SIFT, ORB,63,57,61,61,52,63,62,59,74,61.33,5.89
SIFT, FREAK,65,72,65,67,59,59,64,65,79,66.11,6.23
SIFT, SIFT,75,72,65,75,59,64,64,69,81,69.33,6.98
