Detector Type, Descriptor Type, Image, TTC Lidar, TTC Camera, TTC Camera – Lidar
SHITOMASI, BRISK,1,12.29,14.11,1.823
SHITOMASI, BRISK,2,13.35,14.73,1.373
SHITOMASI, BRISK,3,16.38,13.49,-2.894
SHITOMASI, BRISK,4,14.08,12.40,-1.678
SHITOMASI, BRISK,5,12.73,12.68,-0.055
SHITOMASI, BRISK,6,13.75,-inf,nan
SHITOMASI, BRISK,7,13.73,-inf,nan
SHITOMASI, BRISK,8,13.79,-inf,nan
SHITOMASI, BRISK,9,12.06,11.51,-0.546
SHITOMASI, BRISK,10,11.86,-inf,nan
SHITOMASI, BRISK,11,11.97,11.30,-0.666
SHITOMASI, BRISK,12,9.89,11.65,1.765
SHITOMASI, BRISK,13,9.43,11.72,2.299
SHITOMASI, BRISK,14,9.30,11.88,2.576
SHITOMASI, BRISK,15,8.32,9.34,1.017
SHITOMASI, BRISK,16,8.90,11.31,2.409
SHITOMASI, BRISK,17,11.03,11.45,0.419
SHITOMASI, BRISK,18,8.54,9.13,0.592
SHITOMASI, BRIEF,1,12.29,13.89,1.606
SHITOMASI, BRIEF,2,13.35,13.15,-0.206
SHITOMASI, BRIEF,3,16.38,22.68,6.294
SHITOMASI, BRIEF,4,14.08,13.81,-0.266
SHITOMASI, BRIEF,5,12.73,12.19,-0.541
SHITOMASI, BRIEF,6,13.75,15.16,1.405
SHITOMASI, BRIEF,7,13.73,18.34,4.605
SHITOMASI, BRIEF,8,13.79,12.38,-1.411
SHITOMASI, BRIEF,9,12.06,12.46,0.404
SHITOMASI, BRIEF,10,11.86,13.34,1.481
SHITOMASI, BRIEF,11,11.97,12.20,0.232
SHITOMASI, BRIEF,12,9.89,12.23,2.342
SHITOMASI, BRIEF,13,9.43,12.33,2.904
SHITOMASI, BRIEF,14,9.30,12.71,3.408
SHITOMASI, BRIEF,15,8.32,12.98,4.658
SHITOMASI, BRIEF,16,8.90,11.39,2.487
SHITOMASI, BRIEF,17,11.03,13.61,2.576
SHITOMASI, BRIEF,18,8.54,7.75,-0.785
SHITOMASI, ORB,1,12.29,13.60,1.314
SHITOMASI, ORB,2,13.35,13.21,-0.143
SHITOMASI, ORB,3,16.38,12.88,-3.501
SHITOMASI, ORB,4,14.08,12.10,-1.972
SHITOMASI, ORB,5,12.73,11.70,-1.026
SHITOMASI, ORB,6,13.75,13.53,-0.224
SHITOMASI, ORB,7,13.73,13.25,-0.482
SHITOMASI, ORB,8,13.79,12.02,-1.775
SHITOMASI, ORB,9,12.06,11.35,-0.706
SHITOMASI, ORB,10,11.86,14.15,2.281
SHITOMASI, ORB,11,11.97,11.42,-0.544
SHITOMASI, ORB,12,9.89,11.97,2.078
SHITOMASI, ORB,13,9.43,12.31,2.880
SHITOMASI, ORB,14,9.30,11.48,2.180
SHITOMASI, ORB,15,8.32,10.40,2.077
SHITOMASI, ORB,16,8.90,11.74,2.837
SHITOMASI, ORB,17,11.03,12.11,1.082
SHITOMASI, ORB,18,8.54,9.12,0.580
SHITOMASI, FREAK,1,12.29,13.76,1.473
SHITOMASI, FREAK,2,13.35,11.85,-1.503
SHITOMASI, FREAK,3,16.38,11.41,-4.972
SHITOMASI, FREAK,4,14.08,13.35,-0.729
SHITOMASI, FREAK,5,12.73,11.64,-1.090
SHITOMASI, FREAK,6,13.75,14.24,0.487
SHITOMASI, FREAK,7,13.73,12.66,-1.070
SHITOMASI, FREAK,8,13.79,12.10,-1.685
SHITOMASI, FREAK,9,12.06,11.87,-0.189
SHITOMASI, FREAK,10,11.86,12.11,0.250
SHITOMASI, FREAK,11,11.97,11.96,-0.008
SHITOMASI, FREAK,12,9.89,11.56,1.676
SHITOMASI, FREAK,13,9.43,13.35,3.923
SHITOMASI, FREAK,14,9.30,12.25,2.950
SHITOMASI, FREAK,15,8.32,10.28,1.957
SHITOMASI, FREAK,16,8.90,9.35,0.450
SHITOMASI, FREAK,17,11.03,11.59,0.559
SHITOMASI, FREAK,18,8.54,7.16,-1.378
FAST, BRISK,1,12.29,12.55,0.262
FAST, BRISK,2,13.35,12.87,-0.489
FAST, BRISK,3,16.38,12.63,-3.753
FAST, BRISK,4,14.08,12.47,-1.607
FAST, BRISK,5,12.73,12.26,-0.473
FAST, BRISK,6,13.75,12.50,-1.254
FAST, BRISK,7,13.73,13.25,-0.483
FAST, BRISK,8,13.79,12.04,-1.754
FAST, BRISK,9,12.06,13.37,1.308
FAST, BRISK,10,11.86,12.04,0.177
FAST, BRISK,11,11.97,11.75,-0.214
FAST, BRISK,12,9.89,11.60,1.709
FAST, BRISK,13,9.43,11.96,2.535
FAST, BRISK,14,9.30,11.31,2.012
FAST, BRISK,15,8.32,11.24,2.922
FAST, BRISK,16,8.90,11.08,2.179
FAST, BRISK,17,11.03,9.90,-1.126
FAST, BRISK,18,8.54,11.65,3.113
FAST, BRIEF,1,12.29,11.67,-0.619
FAST, BRIEF,2,13.35,12.02,-1.334
FAST, BRIEF,3,16.38,13.71,-2.672
FAST, BRIEF,4,14.08,12.24,-1.837
FAST, BRIEF,5,12.73,14.32,1.588
FAST, BRIEF,6,13.75,11.69,-2.065
FAST, BRIEF,7,13.73,13.01,-0.717
FAST, BRIEF,8,13.79,12.55,-1.239
FAST, BRIEF,9,12.06,13.26,1.203
FAST, BRIEF,10,11.86,12.63,0.765
FAST, BRIEF,11,11.97,12.05,0.084
FAST, BRIEF,12,9.89,11.99,2.101
FAST, BRIEF,13,9.43,12.25,2.827
FAST, BRIEF,14,9.30,10.54,1.234
FAST, BRIEF,15,8.32,10.48,2.156
FAST, BRIEF,16,8.90,10.34,1.442
FAST, BRIEF,17,11.03,9.99,-1.042
FAST, BRIEF,18,8.54,10.65,2.115
FAST, ORB,1,12.29,12.54,0.253
FAST, ORB,2,13.35,12.53,-0.828
FAST, ORB,3,16.38,13.77,-2.618
FAST, ORB,4,14.08,12.53,-1.546
FAST, ORB,5,12.73,13.18,0.449
FAST, ORB,6,13.75,12.72,-1.032
FAST, ORB,7,13.73,12.93,-0.805
FAST, ORB,8,13.79,11.60,-2.194
FAST, ORB,9,12.06,13.28,1.218
FAST, ORB,10,11.86,12.56,0.697
FAST, ORB,11,11.97,11.71,-0.262
FAST, ORB,12,9.89,12.34,2.451
FAST, ORB,13,9.43,11.84,2.417
FAST, ORB,14,9.30,11.49,2.185
FAST, ORB,15,8.32,10.89,2.568
FAST, ORB,16,8.90,10.96,2.060
FAST, ORB,17,11.03,8.86,-2.174
FAST, ORB,18,8.54,11.63,3.094
FAST, FREAK,1,12.29,13.00,0.710
FAST, FREAK,2,13.35,12.09,-1.262
FAST, FREAK,3,16.38,14.61,-1.773
FAST, FREAK,4,14.08,13.27,-0.802
FAST, FREAK,5,12.73,12.76,0.027
FAST, FREAK,6,13.75,11.56,-2.194
FAST, FREAK,7,13.73,13.01,-0.725
FAST, FREAK,8,13.79,12.47,-1.316
FAST, FREAK,9,12.06,12.30,0.241
FAST, FREAK,10,11.86,12.72,0.855
FAST, FREAK,11,11.97,12.23,0.260
FAST, FREAK,12,9.89,11.75,1.862
FAST, FREAK,13,9.43,11.83,2.400
FAST, FREAK,14,9.30,11.60,2.303
FAST, FREAK,15,8.32,10.15,1.825
FAST, FREAK,16,8.90,10.61,1.710
FAST, FREAK,17,11.03,9.89,-1.141
FAST, FREAK,18,8.54,10.87,2.336
BRISK, BRISK,1,12.29,12.87,0.577
BRISK, BRISK,2,13.35,16.60,3.241
BRISK, BRISK,3,16.38,12.78,-3.604
BRISK, BRISK,4,14.08,14.84,0.764
BRISK, BRISK,5,12.73,28.64,15.907
BRISK, BRISK,6,13.75,17.83,4.081
BRISK, BRISK,7,13.73,15.56,1.828
BRISK, BRISK,8,13.79,15.92,2.130
BRISK, BRISK,9,12.06,13.97,1.909
BRISK, BRISK,10,11.86,10.66,-1.209
BRISK, BRISK,11,11.97,12.14,0.171
BRISK, BRISK,12,9.89,11.11,1.223
BRISK, BRISK,13,9.43,11.57,2.147
BRISK, BRISK,14,9.30,12.42,3.119
BRISK, BRISK,15,8.32,12.47,4.151
BRISK, BRISK,16,8.90,10.93,2.034
BRISK, BRISK,17,11.03,10.35,-0.680
BRISK, BRISK,18,8.54,12.35,3.816
BRISK, BRIEF,1,12.29,10.19,-2.100
BRISK, BRIEF,2,13.35,16.13,2.778
BRISK, BRIEF,3,16.38,11.57,-4.818
BRISK, BRIEF,4,14.08,17.84,3.763
BRISK, BRIEF,5,12.73,20.48,7.746
BRISK, BRIEF,6,13.75,20.60,6.853
BRISK, BRIEF,7,13.73,14.09,0.357
BRISK, BRIEF,8,13.79,19.12,5.325
BRISK, BRIEF,9,12.06,14.70,2.640
BRISK, BRIEF,10,11.86,10.18,-1.688
BRISK, BRIEF,11,11.97,11.63,-0.343
BRISK, BRIEF,12,9.89,12.69,2.798
BRISK, BRIEF,13,9.43,11.51,2.082
BRISK, BRIEF,14,9.30,10.78,1.479
BRISK, BRIEF,15,8.32,10.64,2.323
BRISK, BRIEF,16,8.90,11.72,2.822
BRISK, BRIEF,17,11.03,10.79,-0.236
BRISK, BRIEF,18,8.54,9.96,1.428
BRISK, ORB,1,12.29,11.73,-0.556
BRISK, ORB,2,13.35,15.83,2.474
BRISK, ORB,3,16.38,14.29,-2.096
BRISK, ORB,4,14.08,17.13,3.053
BRISK, ORB,5,12.73,23.88,11.147
BRISK, ORB,6,13.75,19.93,6.174
BRISK, ORB,7,13.73,12.13,-1.598
